G1 Model,G2 Equivalent,Family,Stage,Standard Source,kW,HP,Connection,Stages,B1 mm,B2 mm,Height mm,D1 mm,D2 mm,Weight kg
CHC 12-5,CHC 12-50,12,5,True,3,4,DN50,5,479,325,804,197,165,48
CHC 12-6,CHC 12-60,12,6,True,4,5.5,DN50,6,509,335,844,230,188,58
CHC 12-7,CHC 12-70,12,7,True,5.5,7.5,DN50,7,559,430,989,260,208,76
CHC 12-8,CHC 12-80,12,8,True,5.5,7.5,DN50,8,589,430,1019,260,208,76
CHC 12-9,CHC 12-90,12,9,True,5.5,7.5,DN50,9,619,430,1049,260,208,78
CHC 12-10,CHC 12-100,12,10,True,7.5,10,DN50,10,649,430,1079,260,208,78
CHC 12-11,CHC 12-110,12,11,True,7.5,10,DN50,11,709,430,1139,260,208,80
CHC 12-12,CHC 12-120,12,12,True,7.5,10,DN50,12,709,430,1139,260,208,80
CHC 12-13,CHC 12-130,12,13,True,11,15,DN50,13,859,505,1364,330,255,151
CHC 12-14,CHC 12-140,12,14,True,11,15,DN50,14,859,505,1364,330,255,151
CHC 12-15,CHC 12-150,12,15,True,11,15,DN50,15,919,505,1424,330,255,151
CHC 12-16,CHC 12-160,12,16,True,11,15,DN50,16,919,505,1424,330,255,151
CHC 12-17,CHC 12-170,12,17,True,11,15,DN50,17,979,505,1484,330,255,153
CHC 12-18,CHC 12-180,12,18,True,11,15,DN50,18,979,505,1484,330,255,153
CHC 15-1,CHC 15-10,15,1,True,1.1,1.5,DN50,1,353,241,594,154,111,45
CHC 15-2,CHC 15-20,15,2,True,2.2,3,DN50,2,406,293,699,177,116,50
CHC 15-3,CHC 15-30,15,3,True,3,4,DN50,3,451,293,744,177,116,55
CHC 15-4,CHC 15-40,15,4,True,4,5.5,DN50,4,516,305,821,197,148,60
CHC 15-5,CHC 15-50,15,5,True,4,5.5,DN50,5,561,305,866,197,148,63
CHC 15-6,CHC 15-60,15,6,True,5.5,7.5,DN50,6,627,390,1017,275,210,93
CHC 15-7,CHC 15-70,15,7,True,5.5,7.5,DN50,7,672,390,1062,275,210,97
CHC 15-8,CHC 15-80,15,8,True,7.5,10,DN50,8,717,390,1107,275,210,100
CHC 15-9,CHC 15-90,15,9,True,7.5,10,DN50,9,762,390,1152,275,210,102
CHC 15-10,CHC 15-100,15,10,True,11,15,DN50,10,827,505,1332,330,255,145
CHC 15-11,CHC 15-110,15,11,False,11,15,DN50,11,917,505,1422,330,255,150
CHC 15-12,CHC 15-120,15,12,True,11,15,DN50,12,917,505,1422,330,255,150
CHC 15-13,CHC 15-130,15,13,False,11,15,DN50,13,1007,505,1512,330,255,152
CHC 15-14,CHC 15-140,15,14,True,11,15,DN50,14,1007,505,1512,330,255,152
CHC 15-15,CHC 15-150,15,15,False,15,20,DN50,15,1097,505,1602,330,255,153
CHC 15-16,CHC 15-160,15,16,True,15,20,DN50,16,1097,505,1602,330,255,153
CHC 15-17,CHC 15-170,15,17,True,15,20,DN50,17,1142,505,1647,330,255,165
CHC 16-1,CHC 16-10,16,1,True,1.1,1.5,DN50,1,353,241,594,154,111,45
CHC 16-2,CHC 16-20,16,2,True,2.2,3,DN50,2,406,293,699,177,116,50
CHC 16-3,CHC 16-30,16,3,True,3,4,DN50,3,451,293,744,177,116,55
CHC 16-4,CHC 16-40,16,4,True,4,5.5,DN50,4,516,305,821,197,148,60
CHC 16-5,CHC 16-50,16,5,True,4,5.5,DN50,5,561,305,866,197,148,63
CHC 16-6,CHC 16-60,16,6,True,5.5,7.5,DN50,6,627,390,1017,275,210,93
CHC 16-7,CHC 16-70,16,7,True,5.5,7.5,DN50,7,672,390,1062,275,210,97
CHC 16-8,CHC 16-80,16,8,True,7.5,10,DN50,8,717,390,1107,275,210,100
CHC 16-9,CHC 16-90,16,9,True,7.5,10,DN50,9,762,390,1152,275,210,102
CHC 16-10,CHC 16-100,16,10,True,11,15,DN50,10,827,505,1332,330,255,145
CHC 16-11,CHC 16-110,16,11,False,11,15,DN50,11,917,505,1422,330,255,150
CHC 16-12,CHC 16-120,16,12,True,11,15,DN50,12,917,505,1422,330,255,150
CHC 16-13,CHC 16-130,16,13,False,11,15,DN50,13,1007,505,1512,330,255,152
CHC 16-14,CHC 16-140,16,14,True,11,15,DN50,14,1007,505,1512,330,255,152
CHC 16-15,CHC 16-150,16,15,False,15,20,DN50,15,1097,505,1602,330,255,153
CHC 16-16,CHC 16-160,16,16,True,15,20,DN50,16,1097,505,1602,330,255,153
CHC 16-17,CHC 16-170,16,17,True,15,20,DN50,17,1142,505,1647,330,255,165
CHC 20-1,CHC 20-10,20,1,False,1.1,1.5,DN50,1,353,241,594,154,111,45
CHC 20-2,CHC 20-20,20,2,False,2.2,3,DN50,2,406,293,699,177,116,50
CHC 20-3,CHC 20-30,20,3,False,4,5.5,DN50,3,471,305,776,197,148,60
CHC 20-4,CHC 20-40,20,4,False,5.5,7.5,DN50,4,537,305,842,197,148,85
