G1 Model,G2 Equivalent,Family,Stage,Standard Source,kW,HP,Connection,Stages,B1 mm,B2 mm,Height mm,D1 mm,D2 mm,Weight kg
CHC 1-1,CHC 1-10,1,1,False,0.37,0.5,DN32 (G1¼),1,262,205,467,133,124,23
CHC 1-2,CHC 1-20,1,2,True,0.37,0.5,DN32 (G1¼),2,262,205,467,133,124,23
CHC 1-3,CHC 1-30,1,3,True,0.37,0.5,DN32 (G1¼),3,280,205,485,133,124,23
CHC 1-4,CHC 1-40,1,4,True,0.37,0.5,DN32 (G1¼),4,298,205,503,133,124,23
CHC 1-5,CHC 1-50,1,5,True,0.37,0.5,DN32 (G1¼),5,316,205,521,133,124,24
CHC 1-6,CHC 1-60,1,6,True,0.37,0.5,DN32 (G1¼),6,334,205,539,133,124,24
CHC 1-7,CHC 1-70,1,7,True,0.37,0.5,DN32 (G1¼),7,352,205,557,133,124,25
CHC 1-8,CHC 1-80,1,8,True,0.55,0.75,DN32 (G1¼),8,370,205,575,133,124,25
CHC 1-9,CHC 1-90,1,9,True,0.55,0.75,DN32 (G1¼),9,388,205,593,133,124,26
CHC 1-10,CHC 1-100,1,10,True,0.55,0.75,DN32 (G1¼),10,406,205,611,133,124,26
CHC 1-11,CHC 1-110,1,11,True,0.55,0.75,DN32 (G1¼),11,424,205,629,133,124,27
CHC 1-12,CHC 1-120,1,12,True,0.75,1,DN32 (G1¼),12,442,205,647,133,124,28
CHC 1-13,CHC 1-130,1,13,True,0.75,1,DN32 (G1¼),13,460,205,665,133,124,29
CHC 1-14,CHC 1-140,1,14,False,0.75,1,DN32 (G1¼),14,496,205,701,133,124,30
CHC 1-15,CHC 1-150,1,15,True,0.75,1,DN32 (G1¼),15,496,205,701,133,124,30
CHC 1-16,CHC 1-160,1,16,False,1.1,1.5,DN32 (G1¼),16,538,241,779,154,133,32
CHC 1-17,CHC 1-170,1,17,True,1.1,1.5,DN32 (G1¼),17,538,241,779,154,133,32
CHC 1-18,CHC 1-180,1,18,False,1.1,1.5,DN32 (G1¼),18,574,241,815,154,133,33
CHC 1-19,CHC 1-190,1,19,True,1.1,1.5,DN32 (G1¼),19,574,241,815,154,133,33
CHC 1-20,CHC 1-200,1,20,False,1.1,1.5,DN32 (G1¼),20,610,241,851,154,133,34
CHC 1-21,CHC 1-210,1,21,True,1.1,1.5,DN32 (G1¼),21,610,241,851,154,133,34
CHC 1-22,CHC 1-220,1,22,False,1.1,1.5,DN32 (G1¼),22,646,241,887,154,133,36
CHC 1-23,CHC 1-230,1,23,True,1.1,1.5,DN32 (G1¼),23,646,241,887,154,133,36
CHC 1-24,CHC 1-240,1,24,False,1.5,2,DN32,24,690,293,983,177,145,43
CHC 1-25,CHC 1-250,1,25,True,1.5,2,DN32,25,690,293,983,177,145,43
CHC 1-26,CHC 1-260,1,26,False,1.5,2,DN32,26,726,293,1019,177,145,44
CHC 1-27,CHC 1-270,1,27,True,1.5,2,DN32,27,726,293,1019,177,145,44
CHC 1-28,CHC 1-280,1,28,False,1.5,2,DN32,28,780,293,1073,177,145,46
CHC 1-29,CHC 1-290,1,29,False,1.5,2,DN32,29,780,293,1073,177,145,46
CHC 1-30,CHC 1-300,1,30,True,1.5,2,DN32,30,780,293,1073,177,145,46
CHC 1-31,CHC 1-310,1,31,False,2.2,3,DN32,31,834,293,1127,177,145,49
CHC 1-32,CHC 1-320,1,32,False,2.2,3,DN32,32,834,293,1127,177,145,49
CHC 1-33,CHC 1-330,1,33,True,2.2,3,DN32,33,834,293,1127,177,145,49
CHC 1-34,CHC 1-340,1,34,False,2.2,3,DN32,34,888,293,1181,177,145,50
CHC 1-35,CHC 1-350,1,35,False,2.2,3,DN32,35,888,293,1181,177,145,50
CHC 1-36,CHC 1-360,1,36,True,2.2,3,DN32,36,888,293,1181,177,145,50
CHC 2-1,CHC 2-10,2,1,False,0.37,0.5,DN32 (G1¼),1,262,205,467,133,102,22
CHC 2-2,CHC 2-20,2,2,True,0.37,0.5,DN32 (G1¼),2,262,205,467,133,102,22
CHC 2-3,CHC 2-30,2,3,True,0.37,0.5,DN32 (G1¼),3,280,205,485,133,102,22
CHC 2-4,CHC 2-40,2,4,True,0.55,0.75,DN32 (G1¼),4,298,205,503,133,102,25
CHC 2-5,CHC 2-50,2,5,True,0.55,0.75,DN32 (G1¼),5,316,205,521,133,102,25
CHC 2-6,CHC 2-60,2,6,True,0.75,1,DN32 (G1¼),6,334,205,539,133,102,27
CHC 2-7,CHC 2-70,2,7,True,0.75,1,DN32 (G1¼),7,352,205,557,133,102,27
CHC 2-8,CHC 2-80,2,8,False,1.1,1.5,DN32 (G1¼),8,394,205,599,154,111,29
CHC 2-9,CHC 2-90,2,9,True,1.1,1.5,DN32 (G1¼),9,394,241,635,154,111,29
CHC 2-10,CHC 2-100,2,10,False,1.1,1.5,DN32 (G1¼),10,430,241,671,154,111,29
CHC 2-11,CHC 2-110,2,11,True,1.1,1.5,DN32 (G1¼),11,430,241,671,154,111,29
CHC 2-12,CHC 2-120,2,12,False,1.5,2,DN32 (G1¼),12,466,241,707,154,111,32
CHC 2-13,CHC 2-130,2,13,True,1.5,2,DN32 (G1¼),13,466,293,759,154,111,32
CHC 2-14,CHC 2-140,2,14,False,1.5,2,DN32,14,502,293,795,154,111,32
CHC 2-15,CHC 2-150,2,15,True,1.5,2,DN32,15,502,293,795,154,111,32
CHC 2-16,CHC 2-160,2,16,False,2.2,3,DN32,16,558,293,851,177,116,38
CHC 2-17,CHC 2-170,2,17,False,2.2,3,DN32,17,558,293,851,177,116,38
CHC 2-18,CHC 2-180,2,18,True,2.2,3,DN32,18,558,293,851,177,116,38
CHC 2-19,CHC 2-190,2,19,False,2.2,3,DN32,19,630,293,923,177,116,43
CHC 2-20,CHC 2-200,2,20,False,2.2,3,DN32,20,630,293,923,177,116,43
CHC 2-21,CHC 2-210,2,21,False,2.2,3,DN32,21,630,293,923,177,116,43
CHC 2-22,CHC 2-220,2,22,True,2.2,3,DN32,22,630,293,923,177,116,43
CHC 2-23,CHC 2-230,2,23,False,3,4,DN32,23,702,293,995,177,116,48
CHC 2-24,CHC 2-240,2,24,False,3,4,DN32,24,702,293,995,177,116,48
CHC 2-25,CHC 2-250,2,25,False,3,4,DN32,25,702,293,995,177,116,48
CHC 2-26,CHC 2-260,2,26,True,3,4,DN32,26,702,293,995,177,116,48
CHC 3-1,CHC 3-10,3,1,False,0.37,0.5,DN32 (G1¼),1,262,205,467,133,102,23
CHC 3-2,CHC 3-20,3,2,True,0.37,0.5,DN32 (G1¼),2,262,205,467,133,102,23
CHC 3-3,CHC 3-30,3,3,True,0.37,0.5,DN32 (G1¼),3,280,205,485,133,102,23
CHC 3-4,CHC 3-40,3,4,True,0.37,0.5,DN32 (G1¼),4,298,205,503,133,102,24
CHC 3-5,CHC 3-50,3,5,True,0.37,0.5,DN32 (G1¼),5,316,205,521,133,102,24
CHC 3-6,CHC 3-60,3,6,True,0.55,0.75,DN32 (G1¼),6,334,205,539,133,102,26
CHC 3-7,CHC 3-70,3,7,True,0.55,0.75,DN32 (G1¼),7,352,205,557,133,102,26
CHC 3-8,CHC 3-80,3,8,True,0.75,1,DN32 (G1¼),8,370,205,575,133,102,27
CHC 3-9,CHC 3-90,3,9,True,0.75,1,DN32 (G1¼),9,388,205,593,133,102,27
CHC 3-10,CHC 3-100,3,10,True,0.75,1,DN32 (G1¼),10,406,205,611,133,102,28
CHC 3-11,CHC 3-110,3,11,True,1.1,1.5,DN32 (G1¼),11,430,241,671,154,111,30
CHC 3-12,CHC 3-120,3,12,True,1.1,1.5,DN32 (G1¼),12,448,241,689,154,111,30
CHC 3-13,CHC 3-130,3,13,True,1.1,1.5,DN32 (G1¼),13,466,241,707,154,111,32
CHC 3-14,CHC 3-140,3,14,False,1.1,1.5,DN32 (G1¼),14,502,241,743,154,111,32
CHC 3-15,CHC 3-150,3,15,True,1.1,1.5,DN32 (G1¼),15,502,241,743,154,111,32
CHC 3-16,CHC 3-160,3,16,False,1.5,2,DN32 (G1¼),16,538,293,831,154,111,36
CHC 3-17,CHC 3-170,3,17,True,1.5,2,DN32 (G1¼),17,538,293,831,154,111,36
CHC 3-18,CHC 3-180,3,18,False,1.5,2,DN32 (G1¼),18,574,293,867,154,111,37
CHC 3-19,CHC 3-190,3,19,True,1.5,2,DN32 (G1¼),19,574,293,867,154,111,37
CHC 3-20,CHC 3-200,3,20,False,2.2,3,DN32 (G1¼),20,618,293,911,177,116,40
CHC 3-21,CHC 3-210,3,21,True,2.2,3,DN32 (G1¼),21,618,293,911,177,116,40
CHC 3-22,CHC 3-220,3,22,False,2.2,3,DN32 (G1¼),22,654,293,947,177,116,42
CHC 3-23,CHC 3-230,3,23,True,2.2,3,DN32 (G1¼),23,654,293,947,177,116,42
CHC 3-24,CHC 3-240,3,24,False,2.2,3,DN32,24,690,293,983,177,116,44
CHC 3-25,CHC 3-250,3,25,True,2.2,3,DN32,25,690,293,983,177,116,44
CHC 3-26,CHC 3-260,3,26,False,2.2,3,DN32,26,726,293,1019,177,116,45
CHC 3-27,CHC 3-270,3,27,True,2.2,3,DN32,27,726,293,1019,177,116,45
CHC 3-28,CHC 3-280,3,28,False,2.2,3,DN32,28,762,293,1055,177,116,46
CHC 3-29,CHC 3-290,3,29,True,2.2,3,DN32,29,762,293,1055,177,116,46
CHC 3-30,CHC 3-300,3,30,False,3,4,DN32,30,798,293,1091,177,116,50
CHC 3-31,CHC 3-310,3,31,True,3,4,DN32,31,798,293,1091,177,116,50
CHC 3-32,CHC 3-320,3,32,False,3,4,DN32,32,834,293,1127,177,116,52
CHC 3-33,CHC 3-330,3,33,True,3,4,DN32,33,834,293,1127,177,116,52
CHC 3-34,CHC 3-340,3,34,False,3,4,DN32,34,888,293,1181,177,116,54
CHC 3-35,CHC 3-350,3,35,False,3,4,DN32,35,888,293,1181,177,116,54
CHC 3-36,CHC 3-360,3,36,True,3,4,DN32,36,888,293,1181,177,116,54
CHC 4-1,CHC 4-10,4,1,False,0.37,0.5,DN32 (G1¼),1,262,205,467,133,102,25
CHC 4-2,CHC 4-20,4,2,True,0.37,0.5,DN32 (G1¼),2,262,205,467,133,102,25
CHC 4-3,CHC 4-30,4,3,True,0.55,0.75,DN32 (G1¼),3,280,205,485,133,102,25
CHC 4-4,CHC 4-40,4,4,True,0.75,1,DN32 (G1¼),4,299,205,504,133,102,26
CHC 4-5,CHC 4-50,4,5,True,1.1,1.5,DN32 (G1¼),5,322,241,563,154,111,26
CHC 4-6,CHC 4-60,4,6,True,1.1,1.5,DN32 (G1¼),6,340,241,581,154,111,28
CHC 4-7,CHC 4-70,4,7,True,1.5,2,DN32 (G1¼),7,358,293,651,154,111,33
CHC 4-8,CHC 4-80,4,8,True,1.5,2,DN32 (G1¼),8,376,293,669,154,111,33
CHC 4-9,CHC 4-90,4,9,False,2.2,3,DN32 (G1¼),9,420,293,713,177,116,35
CHC 4-10,CHC 4-100,4,10,True,2.2,3,DN32 (G1¼),10,420,293,713,177,116,35
CHC 4-11,CHC 4-110,4,11,False,2.2,3,DN32 (G1¼),11,456,293,749,177,116,35
CHC 4-12,CHC 4-120,4,12,True,2.2,3,DN32 (G1¼),12,456,293,749,177,116,35
CHC 4-13,CHC 4-130,4,13,False,3,4,DN32 (G1¼),13,492,293,785,177,116,38
CHC 4-14,CHC 4-140,4,14,True,3,4,DN32 (G1¼),14,492,293,785,177,116,38
CHC 4-15,CHC 4-150,4,15,False,3,4,DN32,15,528,293,821,177,116,38
CHC 4-16,CHC 4-160,4,16,True,3,4,DN32,16,528,293,821,177,116,38
CHC 4-17,CHC 4-170,4,17,False,4,5.5,DN32,17,602,305,907,197,148,48
CHC 4-18,CHC 4-180,4,18,False,4,5.5,DN32,18,602,305,907,197,148,48
CHC 4-19,CHC 4-190,4,19,True,4,5.5,DN32,19,602,305,907,197,148,48
CHC 4-20,CHC 4-200,4,20,False,4,5.5,DN32,20,656,305,961,197,148,53
CHC 4-21,CHC 4-210,4,21,False,4,5.5,DN32,21,656,305,961,197,148,53
CHC 4-22,CHC 4-220,4,22,True,4,5.5,DN32,22,656,305,961,197,148,53
CHC 5-1,CHC 5-10,5,1,False,0.37,0.5,DN32 (G1¼),1,280,205,485,133,102,23
CHC 5-2,CHC 5-20,5,2,True,0.37,0.5,DN32 (G1¼),2,280,205,485,133,102,23
CHC 5-3,CHC 5-30,5,3,True,0.55,0.75,DN32 (G1¼),3,307,205,512,133,102,23
CHC 5-4,CHC 5-40,5,4,True,0.55,0.75,DN32 (G1¼),4,334,205,539,133,102,25
CHC 5-5,CHC 5-50,5,5,True,0.75,1,DN32 (G1¼),5,361,205,566,133,102,25
CHC 5-6,CHC 5-60,5,6,True,1.1,1.5,DN32 (G1¼),6,394,241,635,154,111,29
CHC 5-7,CHC 5-70,5,7,True,1.1,1.5,DN32 (G1¼),7,421,241,662,154,111,31
CHC 5-8,CHC 5-80,5,8,True,1.1,1.5,DN32 (G1¼),8,448,241,689,154,111,32
CHC 5-9,CHC 5-90,5,9,True,1.5,2,DN32 (G1¼),9,483,293,776,177,144.5,38
CHC 5-10,CHC 5-100,5,10,True,1.5,2,DN32 (G1¼),10,510,293,803,177,144.5,39
CHC 5-11,CHC 5-110,5,11,True,2.2,3,DN32 (G1¼),11,537,293,830,177,144.5,40
CHC 5-12,CHC 5-120,5,12,True,2.2,3,DN32 (G1¼),12,564,293,857,177,144.5,41
CHC 5-13,CHC 5-130,5,13,True,2.2,3,DN32 (G1¼),13,591,293,884,177,144.5,42
CHC 5-14,CHC 5-140,5,14,True,2.2,3,DN32 (G1¼),14,618,293,911,177,144.5,43
CHC 5-15,CHC 5-150,5,15,True,2.2,3,DN32 (G1¼),15,645,293,938,177,144.5,44
CHC 5-16,CHC 5-160,5,16,True,2.2,3,DN32 (G1¼),16,672,293,965,177,144.5,45
CHC 5-17,CHC 5-170,5,17,False,3,4,DN32 (G1¼),17,726,293,1019,177,116,48
CHC 5-18,CHC 5-180,5,18,True,3,4,DN32 (G1¼),18,726,293,1019,177,116,48
CHC 5-19,CHC 5-190,5,19,False,3,4,DN32 (G1¼),19,780,293,1073,177,116,49
CHC 5-20,CHC 5-200,5,20,True,3,4,DN32 (G1¼),20,780,293,1073,177,116,49
CHC 5-21,CHC 5-210,5,21,False,4,5.5,DN32 (G1¼),21,854,305,1159,197,148,61
